Gene	Mean_zscore_NoBacteriaTripartite	Mean_zscore_VariovoraxCL14	Mean_zscore_ArthrobacterCL28	Mean_zscore_Duoassociation	GLM_ArthrobacterCL28vsNB_log2FoldChange	GLM_ArthrobacterCL28vsNB_pvalue	GLM_ArthrobacterCL28vsNB_padj	GLM_ArthrobacterCL28vsDuoassociation_log2FoldChange	GLM_ArthrobacterCL28vsDuoassociation_pvalue	GLM_ArthrobacterCL28vsDuoassociation_padj	Mean_zscore_NoBacteriaDropout	Mean_zscore_Full	Mean_zscore_VariovoraxDropout	GLM_VariovoraxDropoutvsNB_log2FoldChange	GLM_VariovoraxDropoutvsNB_pvalue	GLM_VariovoraxDropoutvsNB_padj	GLM_VariovoraxDropoutvsFull_log2FoldChange	GLM_VariovoraxDropoutvsFull_pvalue	GLM_VariovoraxDropoutvsFull_padj
AT2G14960	-0.525831492931567	0.128482743264707	0.921868060461791	-0.734851907967548	1.39093755347365	0.0205176360659957	0.36600737134226	1.58911927834215	0.00365545448951158	0.159767626521244	0.441037518879608	-0.716399082606426	-0.306489605861249	-1.40400050962049	0.274363250824417	NA	1.19466151353647	0.453260150768047	NA
AT2G22810	0.138421061848193	-0.0399378921783767	-0.349207186245478	0.306092441314943	-0.403537699177518	0.528871867766326	0.944714169375415	-0.558346252448136	0.323796241287895	0.926122017058747	-0.746006625003599	-0.135894395427587	0.881781452353146	2.50147472954914	0.0859589065297972	NA	1.00405460224032	0.409448246940987	NA
AT2G23170	-0.42274468328303	-0.532058867497954	1.32940510631974	-0.543699428851967	1.4493981272496	3.75854961984478e-06	0.000646045038429924	1.52999442114616	2.4936336145348e-08	1.64185663568612e-05	-0.484332706475194	0.804200246178742	-0.76108804297556	-0.193870881606082	0.612278091043444	0.976261455845442	-0.801252306903986	0.0308221276196672	0.764042634122821
AT2G39370	0.0512241491964861	0.456719569777863	-0.0837547601073285	-0.403699299188413	-0.0344650675937286	0.950340925220877	0.993754741832684	0.166276899970444	0.744334151164229	0.988679284790993	0.159606045935776	-0.380458037004242	0.701445281391285	0.464615596790196	0.612203138520269	0.976261455845442	1.30092704003827	0.193111804863304	0.945911956039673
AT3G15540	-0.0183814781792689	-0.736760996158394	0.974763666990057	-0.226973783924091	0.413545607288225	0.20798806542145	0.818672971965446	0.475808296517745	0.106102388696975	0.762823478581882	-0.106298850705354	-0.541099015958477	0.375934364781781	0.260829011886901	0.644927327199477	0.979026470487783	0.480559468935549	0.407170763053162	0.99227495013278
AT3G58190	-0.64394825395893	0.257196709876394	0.765378691811281	-0.636206449312323	1.91501046509988	0.154663004804873	NA	2.23958959115687	0.0593112327375349	0.642826027704657	-0.271028764252907	-0.602224517435177	1.02935816840006	2.98876312945866	0.171142232719256	NA	3.84252498500983	0.0805220682963097	NA
AT4G14560	0.0904812058878122	0.149076578521809	-0.179686745529977	-0.0236785565245266	-0.0454056999318207	0.870745623224972	0.990141805567504	0.0201664021676501	0.935586095140956	0.997691775237804	0.159157421182914	0.360161398931587	0.616201001432853	0.178547400403696	0.650209993012815	0.979604380292967	0.107374333491319	0.785029023677592	0.992526283592164
AT4G27260	-0.120905061383543	-0.430996393531582	1.17307322965441	-0.669533799292704	0.557351489894334	0.00238704539442852	0.106077968503629	0.785785744799791	1.25968794120839e-06	0.000367307008114348	-1.21375468259936	0.225102515386687	0.319849103488765	0.448855916402253	0.0311007433232057	0.447030994340217	0.0243319489931314	0.905292542470749	0.994468700531803
AT4G32280	0.848002414584161	-0.491495362137901	-0.459090656994435	0.441784570381837	-0.992891009196401	0.102375451159259	0.697988333174355	-0.666849104911838	0.239491462037819	0.895810026056645	-0.383738144674528	-0.632026745735568	0.0486100462620567	0.317643709279427	0.694077871191388	0.982666624430262	0.0428179249747285	0.957047844990702	0.997593931754131
AT4G37390	-0.727780804419343	-0.50679834251007	1.50196225263798	-0.558495427476305	2.37767129722604	1.42457921436083e-24	8.65194442855143e-21	2.16817253670144	5.21204728527303e-28	1.06383097139708e-23	-0.820717882604109	-0.68579757491662	1.37887912072985	2.01391680335958	1.97285906325851e-09	9.88668993268631e-07	1.86031581386754	2.22231617426091e-08	8.24123730062916e-05
AT5G06860	0.65619671187127	-0.587939004146113	0.864511330979259	-0.670290353955907	0.119442835479161	0.653480254991237	0.963624646942864	0.860669170991212	0.000642217922042695	0.051204335964115	1.47989316633333	-0.385479162461103	-0.177796558992469	-0.921147184410849	0.00246893721972057	0.0996818190165465	0.134530813928357	0.672562284197471	0.99227495013278
AT5G67430	-0.214026262281862	0.531884198404288	0.347849737260336	-0.751318178295504	0.881142884163435	0.210878993903202	0.820548238930663	1.1406514308722	0.0768704444309617	0.699867786476357	1.2303156247601	-0.454168353511876	0.138804352524366	-1.50415108190579	0.169934508249955	0.823482021020933	0.908458536802339	0.479124876062722	0.99227495013278
